id,cname,planting,harvest,wsgd,gwad
14664,Kilombero,2022-01-31,2022-06-05,0,2626
14665,Kilombero,2022-01-22,2022-06-05,0,3196
14666,Kilombero,2022-01-18,2022-06-05,0,3588
14667,Kilombero,2022-02-02,2022-06-05,0,2475
14668,Kilombero,2022-01-22,2022-06-05,0,3215
14669,Kilombero,2022-01-20,2022-06-05,0,3341
14670,Kilombero,2022-01-15,2022-06-05,0,4069
14671,Kilombero,2022-01-12,2022-06-05,0,4143
14672,Kilombero,2022-01-13,2022-06-05,0,4245
14673,Kilombero,2022-02-03,2022-06-05,0,2376
14674,Kilombero,2022-01-23,2022-06-05,0,3135
14675,Kilombero,2022-01-24,2022-06-05,0,3027
14676,Kilombero,2022-01-18,2022-06-05,0,3600
14677,Kilombero,2022-01-06,2022-05-30,0,4356
14678,Kilombero,2022-01-09,2022-06-05,0,4250
14679,Kilombero,2022-01-30,2022-06-05,0,2669
14680,Kilombero,2022-01-27,2022-06-05,0.45,2768
14681,Kilombero,2022-02-16,2022-06-22,0.47,2841
14682,Kilombero,2022-02-19,2022-06-22,0,2574
14683,Kilombero,2022-02-13,2022-06-22,0,3168
14684,Kilombero,2022-02-13,2022-06-22,0.524,2784
14685,Kilombero,2022-01-28,2022-06-22,0.386,4121
14686,Kilombero,2022-02-09,2022-06-22,0.547,3148
14687,Kilombero,2022-01-29,2022-06-22,0.386,4164
14688,Kilombero,2022-01-29,2022-06-22,0,4291
14689,Kilombero,2022-01-30,2022-06-22,0,4289
14690,Kilombero,2022-01-24,2022-06-22,0,4082
14691,Kilombero,2022-01-22,2022-06-19,0.22,4084
14692,Kilombero,2022-02-04,2022-06-22,0.465,3761
14693,Kilombero,2022-02-12,2022-06-22,0.346,3266
14694,Kilombero,2022-02-10,2022-06-22,0,3465
14695,Kilombero,2022-02-19,2022-06-22,0,2574
14696,Kilombero,2022-02-12,2022-06-22,0.444,3247
14697,Kilombero,2022-02-03,2022-06-22,0.137,4059
14698,Kilombero,2022-01-22,2022-06-19,0,4084
14699,Kilombero,2022-02-01,2022-06-22,0.237,4243
14700,Kilombero,2022-02-15,2022-06-22,0,2970
14701,Kilombero,2022-02-12,2022-06-22,0.524,3058
14702,Kilombero,2022-02-20,2022-06-22,0.541,2204
14703,Kilombero,2022-02-13,2022-06-22,0.253,3168
14704,Kilombero,2022-02-13,2022-06-22,0.478,3138
14705,Kilombero,2022-02-13,2022-06-22,0,3168
14706,Kilombero,2022-01-23,2022-06-20,0,4093
14707,Kilombero,2022-02-13,2022-06-22,0.536,2842
14708,Kilombero,2022-02-09,2022-06-22,0,3366
14709,Kilombero,2022-01-24,2022-06-22,0,4082
14710,Kilombero,2022-02-10,2022-06-22,0.519,3206
14711,Kilombero,2022-02-08,2022-06-22,0.478,3430
14712,Kilombero,2022-01-23,2022-06-20,0.234,4093
14713,Kilombero,2022-02-03,2022-06-22,0.391,4048
14714,Kilombero,2022-01-23,2022-06-20,0,4093
14715,Kilombero,2022-02-17,2022-06-22,0.52,2687
14716,Kilombero,2022-02-01,2022-06-22,0.159,4243
14717,Kilombero,2022-02-17,2022-06-22,0.444,2758
14718,Kilombero,2022-01-31,2022-06-22,0,4279
14719,Kilombero,2022-02-18,2022-06-22,0.313,2673
14720,Kilombero,2022-01-30,2022-06-22,0,4289
14721,Kilombero,2023-01-21,2023-06-01,0,3362
14722,Kilombero,2023-01-15,2023-05-19,0,2803
14723,Kilombero,2023-01-30,2023-06-04,0,3198
14724,Kilombero,2023-01-14,2023-05-21,0,3020
14725,Kilombero,2023-02-01,2023-06-05,0,3167
14726,Kilombero,2023-01-25,2023-06-05,0,3364
14727,Kilombero,2023-01-20,2023-05-29,0,3176
14728,Kilombero,2023-01-23,2023-05-29,0,3130
14729,Kilombero,2023-01-19,2023-05-25,0,2948
14730,Kilombero,2023-01-23,2023-05-28,0,3130
14731,Kilombero,2023-02-01,2023-06-05,0,3155
14732,Kilombero,2023-01-16,2023-05-20,0,2809
14733,Kilombero,2023-01-06,2023-05-11,0,3122
14734,Kilombero,2023-01-09,2023-05-16,0,2971
14735,Kilombero,2023-01-12,2023-05-20,0,3068
14736,Kilombero,2023-01-13,2023-05-22,0,3171
14737,Kilombero,2023-01-16,2023-05-24,0,3176
14738,Kilombero,2023-01-15,2023-05-19,0,2967
14739,Kilombero,2023-01-13,2023-05-17,0,3018
14740,Kilombero,2023-01-28,2023-06-03,0,3156
14741,Kilombero,2023-01-28,2023-06-05,0,3527
14742,Kilombero,2023-01-29,2023-06-04,0,3121
14743,Kilombero,2023-01-22,2023-05-28,0,2997
14744,Kilombero,2023-01-12,2023-05-19,0,3050
14745,Kilombero,2023-01-10,2023-05-18,0,3064
14746,Kilombero,2023-01-11,2023-05-19,0,3175
14747,Kilombero,2023-01-16,2023-05-24,0,3176
14748,Kilombero,2023-01-11,2023-05-14,0,3077
14749,Kilombero,2023-01-22,2023-05-28,0,3208
14750,Kilombero,2023-01-06,2023-05-11,0,3124
14751,Kilombero,2023-01-12,2023-05-22,0,3217
14752,Kilombero,2023-01-16,2023-05-20,0,2809
14753,Kilombero,2023-01-05,2023-05-10,0,3127
14754,Kilombero,2023-01-16,2023-05-23,0,2958
14755,Kilombero,2023-01-18,2023-05-24,0,2930
14756,Kilombero,2023-02-03,2023-06-05,0,3077
14757,Kilombero,2023-01-08,2023-05-14,0,3204
14758,Kilombero,2023-01-22,2023-05-28,0,3123
14759,Kilombero,2023-01-08,2023-05-14,0,3065
14760,Kilombero,2023-01-15,2023-05-21,0,3019
14761,Kilombero,2023-01-26,2023-06-06,0,3381
14762,Kilombero,2023-02-14,2023-06-22,0.546,3354
14763,Kilombero,2023-02-01,2023-06-09,0,3347
14764,Kilombero,2023-02-14,2023-06-22,0,3534
14765,Kilombero,2023-02-07,2023-06-15,0,3381
14766,Kilombero,2023-02-02,2023-06-13,0.336,3443
14767,Kilombero,2023-02-09,2023-06-19,0,3784
14768,Kilombero,2023-01-31,2023-06-08,0,3297
14769,Kilombero,2023-01-29,2023-06-04,0,3229
14770,Kilombero,2023-01-24,2023-05-29,0,3166
14771,Kilombero,2023-01-26,2023-06-06,0,3381
14772,Kilombero,2023-02-04,2023-06-11,0,3219
14773,Kilombero,2023-02-16,2023-06-22,0.623,3376
14774,Kilombero,2023-02-15,2023-06-22,0.597,3252
14775,Kilombero,2023-02-03,2023-06-11,0,3171
14776,Kilombero,2023-01-24,2023-06-04,0,3315
14777,Kilombero,2023-02-16,2023-06-22,0.595,3050
14778,Kilombero,2023-01-30,2023-06-06,0,3194
14779,Kilombero,2023-02-20,2023-06-22,0.606,2967
14780,Kilombero,2023-01-25,2023-05-31,0,3156
14781,Kilombero,2023-02-18,2023-06-22,0.684,2912
14782,Kilombero,2023-02-03,2023-06-10,0,3189
14783,Kilombero,2023-02-10,2023-06-19,0,3530
14784,Kilombero,2023-01-25,2023-05-31,0,3168
14785,Kilombero,2023-02-16,2023-06-22,0.609,3036
14786,Kilombero,2023-02-04,2023-06-16,0,3628
14787,Kilombero,2023-02-13,2023-06-22,0.167,3657
14788,Kilombero,2023-01-26,2023-06-01,0,3106
14789,Kilombero,2023-01-23,2023-05-29,0,3170
14790,Kilombero,2023-02-15,2023-06-22,0.537,3461
14791,Kilombero,2023-02-06,2023-06-19,0.587,3535
14792,Kilombero,2023-02-17,2023-06-22,0.532,3415
14793,Kilombero,2023-02-20,2023-06-22,0.527,3095
14794,Kilombero,2023-01-31,2023-06-07,0,3257
14795,Kilombero,2023-02-11,2023-06-22,0.499,3386
14796,Kilombero,2023-01-23,2023-06-03,0,3297
14797,Kilombero,2023-02-08,2023-06-18,0,3669
14798,Kilombero,2023-02-03,2023-06-12,0,3381
14799,Kilombero,2023-02-02,2023-06-08,0,3292
14800,Kilombero,2023-02-06,2023-06-14,0.745,3468
14801,Ulanga,2022-02-02,2022-06-05,0,2475
14802,Ulanga,2022-02-02,2022-06-05,0,2475
14803,Ulanga,2022-01-13,2022-06-05,0,4245
14804,Ulanga,2022-02-02,2022-06-05,0,2475
14805,Ulanga,2022-02-03,2022-06-05,0,2376
14806,Ulanga,2022-02-03,2022-06-05,0,2376
14807,Ulanga,2022-01-09,2022-06-05,0,4250
14808,Ulanga,2022-01-21,2022-06-05,0,3293
14809,Ulanga,2022-01-20,2022-06-05,0.249,3341
14810,Ulanga,2022-01-08,2022-06-04,0,4289
14811,Ulanga,2022-01-06,2022-05-30,0,4356
14812,Ulanga,2022-01-25,2022-06-05,0,2992
14813,Ulanga,2022-01-27,2022-06-05,0,2790
14814,Ulanga,2022-01-06,2022-05-30,0,4356
14815,Ulanga,2022-01-05,2022-05-29,0,4257
14816,Ulanga,2022-01-11,2022-06-05,0,4237
14817,Ulanga,2022-01-09,2022-06-05,0,4250
14818,Ulanga,2022-02-01,2022-06-05,0,2565
14819,Ulanga,2022-01-28,2022-06-05,0,2736
14820,Ulanga,2022-01-06,2022-05-30,0,4356
14821,Ulanga,2022-02-02,2022-06-05,0,2475
14822,Ulanga,2022-01-05,2022-05-29,0,4257
14823,Ulanga,2022-01-28,2022-06-05,0,2736
14824,Ulanga,2022-01-14,2022-06-05,0,4192
14825,Ulanga,2022-01-08,2022-06-04,0,4289
14826,Ulanga,2022-02-02,2022-06-05,0,2475
14827,Ulanga,2022-01-06,2022-05-30,0,4356
14828,Ulanga,2022-01-11,2022-06-05,0,4237
14829,Ulanga,2022-01-29,2022-06-05,0,2702
14830,Ulanga,2022-01-16,2022-06-05,0,3954
14831,Ulanga,2022-01-11,2022-06-05,0,4237
14832,Ulanga,2022-02-01,2022-06-05,0.447,2552
14833,Ulanga,2022-02-03,2022-06-05,0,2376
14834,Ulanga,2022-01-20,2022-06-05,0.333,3341
14835,Ulanga,2022-01-08,2022-06-04,0,4288
14836,Ulanga,2022-01-20,2022-06-05,0,3341
14837,Ulanga,2022-01-11,2022-06-05,0,4237
